,motif,score,task
431,ETS,0.010439931415,"K562, real motif"
432,ETS,0.015360143967,"K562, real motif"
433,ETS,0.0127135552466,"K562, real motif"
434,ETS,0.0154598979279,"K562, real motif"
435,ETS,0.00998177286237,"K562, real motif"
436,ETS,0.0132825188339,"K562, real motif"
437,ETS,0.0149663919583,"K562, real motif"
438,ETS,0.0125029031187,"K562, real motif"
439,ETS,0.0100174238905,"K562, real motif"
440,ETS,0.0155662111938,"K562, real motif"
441,ETS,0.0134483911097,"K562, real motif"
442,ETS,0.0136814182624,"K562, real motif"
443,ETS,0.0165660921484,"K562, real motif"
444,ETS,0.0118085592985,"K562, real motif"
445,ETS,0.0102959061041,"K562, real motif"
446,ETS,0.0143424272537,"K562, real motif"
447,ETS,0.0129178250208,"K562, real motif"
448,ETS,-0.00586377969012,"K562, real motif"
449,ETS,-0.00347269047052,"K562, real motif"
450,ETS,-0.0018401745474,"K562, real motif"
451,ETS,-0.00488809775561,"K562, real motif"
452,ETS,-0.00528673361987,"K562, real motif"
453,ETS,-0.00093574175844,"K562, real motif"
454,ETS,-0.00271567702293,"K562, real motif"
455,ETS,-0.00290531269275,"K562, real motif"
456,ETS,-0.00133879657369,"K562, real motif"
457,ETS,-0.00579489441589,"K562, real motif"
458,ETS,-0.000682211422827,"K562, real motif"
459,ETS,-0.00481995893642,"K562, real motif"
460,ETS,-0.00314975972287,"K562, real motif"
461,ETS,-0.00372705981135,"K562, real motif"
462,ETS,-0.00613167090341,"K562, real motif"
463,ETS,-0.00362154096365,"K562, real motif"
464,ETS,0.00233098957688,"K562, real motif"
465,ETS,0.00481532281265,"K562, real motif"
466,ETS,0.00608430849388,"K562, real motif"
467,ETS,0.00432479102165,"K562, real motif"
468,ETS,0.00607124390081,"K562, real motif"
469,ETS,0.00642598373815,"K562, real motif"
470,ETS,0.00636971183121,"K562, real motif"
471,ETS,0.00787852611393,"K562, real motif"
472,ETS,0.00164438749198,"K562, real motif"
473,ETS,0.000352861796273,"K562, real motif"
474,ETS,-0.00039835300413,"K562, real motif"
475,ETS,-0.00188311294187,"K562, real motif"
476,ETS,-0.00470312451944,"K562, real motif"
477,ETS,-0.00239509157836,"K562, real motif"
478,ETS,-0.00073325750418,"K562, real motif"
479,ETS,0.00159599806648,"K562, real motif"
480,ETS,-0.000369247398339,"K562, real motif"
481,ETS,-0.00131092721131,"K562, real motif"
482,ETS,-0.00358168245293,"K562, real motif"
483,ETS,-0.000238151886151,"K562, real motif"
484,ETS,-0.000616557488684,"K562, real motif"
485,ETS,0.000209156249184,"K562, real motif"
486,ETS,-0.000575036159717,"K562, real motif"
487,ETS,0.00034821787267,"K562, real motif"
488,ETS,-0.00189131090883,"K562, real motif"
489,ETS,0.000335536053171,"K562, real motif"
490,ETS,-0.000797540938947,"K562, real motif"
491,ETS,0.000812025915366,"K562, real motif"
492,ETS,0.000789770158008,"K562, real motif"
493,ETS,0.000602866115514,"K562, real motif"
494,ETS,-0.000582854321692,"K562, real motif"
495,ETS,-0.0018637458561,"K562, real motif"
496,ETS,-9.43668492255e-05,"K562, real motif"
497,ETS,-0.00337610254064,"K562, real motif"
498,ETS,-0.00101510621607,"K562, real motif"
499,ETS,0.0105192307383,"K562, real motif"
500,ETS,0.00406948337331,"K562, real motif"
501,ETS,0.00551112927496,"K562, real motif"
502,ETS,0.00504949083552,"K562, real motif"
503,ETS,0.00505604874343,"K562, real motif"
504,ETS,0.00311936414801,"K562, real motif"
505,ETS,0.00639081047848,"K562, real motif"
506,ETS,0.00640471000224,"K562, real motif"
507,ETS,0.00516287842765,"K562, real motif"
508,ETS,0.00626721698791,"K562, real motif"
509,ETS,0.00464097689837,"K562, real motif"
510,ETS,0.00826155487448,"K562, real motif"
511,ETS,0.00789061468095,"K562, real motif"
512,ETS,0.00790534168482,"K562, real motif"
513,ETS,0.00848008506,"K562, real motif"
514,ETS,0.00879464950413,"K562, real motif"
515,ETS,0.00592199154198,"K562, real motif"
516,ETS,0.00539734167978,"K562, real motif"
517,ETS,0.00521226599813,"K562, real motif"
518,ETS,0.00268193054944,"K562, real motif"
519,ETS,0.0025356633123,"K562, real motif"
520,ETS,0.0033774941694,"K562, real motif"
521,ETS,0.00135468738154,"K562, real motif"
522,ETS,0.00873233471066,"K562, real motif"
523,ETS,0.00457131816074,"K562, real motif"
524,ETS,0.0078787393868,"K562, real motif"
525,ETS,0.00634475331753,"K562, real motif"
526,ETS,0.00531427003443,"K562, real motif"
527,ETS,0.00519089447334,"K562, real motif"
528,ETS,0.00618535326794,"K562, real motif"
529,ETS,0.00430162623525,"K562, real motif"
530,ETS,0.00412272196263,"K562, real motif"
531,ETS,0.00865397136658,"K562, real motif"
532,ETS,0.00814861059189,"K562, real motif"
533,ETS,0.00900814682245,"K562, real motif"
534,ETS,0.00103189470246,"K562, real motif"
535,ETS,0.00609712302685,"K562, real motif"
536,ETS,0.00578938238323,"K562, real motif"
537,ETS,0.0103037329391,"K562, real motif"
538,ETS,0.0108188539743,"K562, real motif"
539,ETS,0.00779861677438,"K562, real motif"
540,ETS,0.00757169723511,"K562, real motif"
541,ETS,0.00741660920903,"K562, real motif"
542,ETS,0.0094280326739,"K562, real motif"
543,ETS,0.00693422369659,"K562, real motif"
544,ETS,0.00702510308474,"K562, real motif"
545,ETS,0.00693999091163,"K562, real motif"
546,ETS,0.0064982236363,"K562, real motif"
547,ETS,0.00545781245455,"K562, real motif"
548,ETS,0.0079049281776,"K562, real motif"
549,ETS,0.00603255769238,"K562, real motif"
550,ETS,0.0066587026231,"K562, real motif"
551,ETS,0.00498800026253,"K562, real motif"
552,ETS,0.00461554480717,"K562, real motif"
553,ETS,0.00400026608258,"K562, real motif"
554,ETS,0.00269709783606,"K562, real motif"
555,ETS,0.0131900515407,"K562, real motif"
556,ETS,0.0114818811417,"K562, real motif"
557,ETS,0.0102625126019,"K562, real motif"
558,ETS,0.00844681914896,"K562, real motif"
559,ETS,0.00905428733677,"K562, real motif"
560,ETS,0.0110691674054,"K562, real motif"
561,ETS,0.0110775250942,"K562, real motif"
562,ETS,0.0115188006312,"K562, real motif"
563,ETS,0.0140991862863,"K562, real motif"
564,ETS,0.0134644322097,"K562, real motif"
565,ETS,0.0101392734796,"K562, real motif"
566,ETS,0.0116767445579,"K562, real motif"
567,ETS,0.0151838781312,"K562, real motif"
568,ETS,0.0130106573924,"K562, real motif"
569,ETS,0.0101476795971,"K562, real motif"
570,ETS,0.0127196321264,"K562, real motif"
571,ETS,0.0147109366953,"K562, real motif"
572,ETS,0.0125841209665,"K562, real motif"
573,ETS,0.0119831589982,"K562, real motif"
574,ETS,0.0113099701703,"K562, real motif"
575,ETS,0.0117948288098,"K562, real motif"
576,ETS,0.0110570481047,"K562, real motif"
577,ETS,0.0121618621051,"K562, real motif"
578,ETS,0.00986654218286,"K562, real motif"
579,ETS,0.00724115408957,"K562, real motif"
580,ETS,0.0115702804178,"K562, real motif"
581,ETS,0.018198011443,"K562, real motif"
582,ETS,0.0133173605427,"K562, real motif"
583,ETS,0.0156955160201,"K562, real motif"
584,ETS,0.0240609031171,"K562, real motif"
585,ETS,0.0186453852803,"K562, real motif"
586,ETS,0.0216637980193,"K562, real motif"
587,ETS,0.0210512746125,"K562, real motif"
588,ETS,0.0177868381143,"K562, real motif"
589,ETS,0.0214924141765,"K562, real motif"
590,ETS,0.0253293830901,"K562, real motif"
591,ETS,0.0154030630365,"K562, real motif"
592,ETS,0.0195710398257,"K562, real motif"
593,ETS,0.0156077006832,"K562, real motif"
594,ETS,0.0232721343637,"K562, real motif"
595,ETS,0.0181191209704,"K562, real motif"
596,ETS,0.0179116390646,"K562, real motif"
597,ETS,0.0192708075047,"K562, real motif"
598,ETS,0.0187681689858,"K562, real motif"
599,ETS,0.0195929631591,"K562, real motif"
600,ETS,0.0161154381931,"K562, real motif"
601,ETS,0.0203082244843,"K562, real motif"
602,ETS,0.0208332054317,"K562, real motif"
603,ETS,0.0233013220131,"K562, real motif"
604,ETS,0.0168948639184,"K562, real motif"
